question_id,question,option_A,option_B,option_C,option_D,correct_option,difficulty_level,category,topic,tags
54, Which of the following is used to create a model in Django?, class Model, class models.Model, models.create(),create.Model(),B,Medium,Web Development,Django,"django, model"
55, What is the correct HTML tag for inserting an image?, <image>, <img>, <src>, <picture>,B,Easy,Web Development, HTML," html, image"
56, What is the correct way to define a constructor in C++?,void MyClass() {},MyClass() {}, class MyClass() {}, MyClass constructor() {},B,Medium,Language Specific, C++," c++, constructor"
57," In Rails, what command is used to generate a new controller?", rails generate controller, rails new controller, rails generate model, rails create controller,A,Medium,Web Development,Rails,"rails, controller"
58,What is the correct annotation to define a REST controller in Spring Boot?,@RestController,@Controller, @Service, @Component,A,Medium,Web Development, Spring Boot," spring, rest, controller"
59,What tag is used to create a hyperlink in HTML?, <link>, <a>, <href>, <url>,B,Easy,Web Development, HTML,"html, hyperlink"
60,What is the purpose of the `callback()` function in JavaScript?,To handle asynchronous operations,To create a new object,To process JSON data,To execute synchronous code,A,Medium,Language Specific,JavaScript,"javascript, callback"
61,"In Flask, what is the method to route a URL to a function?", @route(), @app.route(), @url.route(), @web.route(),B,Medium,Web Development, Flask," flask, route"
62," In Ruby, how do you define a method?",def method_name, function method_name, method method_name, define method_name,A,Medium,Language Specific,Ruby,"ruby, method"
63, Which annotation is used in Spring Boot to mark a method as a request handler for HTTP GET requests?, @RequestMapping,@GetMapping, @PostMapping, @RequestMethod,B,Medium,Web Development, Spring Boot," spring boot, get mapping"
64,What does the `<div>` tag represent in HTML?,A list item,A table element,A division or section in an HTML document,A form,C,Easy,Web Development,"HTML, Frontend","HTML, Frontend"
65,Which HTTP method is idempotent?,POST,GET,PATCH,PUT,D,Medium,Web Development,"HTTP, REST","HTTP, REST"
66,What does SOLID stand for in OOP?,Five design flaws,Database principles,OOP design principles,REST architecture,C,Medium,Object-Oriented Programming (OOP),SOLID Principles,"SOLID Principles, OOP"
67,What is the correct syntax to print Hello World in Python?,echo Hello World,printf(Hello World),print(Hello World),println(Hello World),C,Easy,Language Specific,Python,Python
68,What is JSX in React?,A backend framework,A CSS library,JavaScript XML,A database,C,Easy,Web Development,React,React
69,Which Angular decorator is used to define a component?,@NgModule,@Injectable,@Component,@Directive,C,Medium,Web Development,Angular,Angular
70,What does CSS stand for?,Computer Style Sheets,Cascading Style Sheets,Creative Style Sheets,Colorful Style Sheets,B,Easy,Web Development,CSS,CSS
71,What does the `defer` keyword do in Go?,Executes code immediately,Delays function declaration,Executes code after the surrounding function returns,Skips code,C,Medium,Language Specific,Go,Go
72,What keyword is used to create a class in Java?,function,method,class,object,C,Easy,Language Specific,Java,Java
73,What symbol is used for variables in PHP?,%,\$,&, #,B,Easy,Language Specific,PHP,PHP
74,What hook is used in React to manage side effects?,useRef,useEffect,useState,useMemo,B,Medium,Web Development,React,React
75,What is the correct file extension for Python files?,.py,.pt,.python, .pyt,A,Easy,Language Specific, Python, Python
76,Which annotation is used in Spring Boot to mark a class as a REST controller?,@Service,@Controller,@RestController,@Component,C,Medium,Web Development,Spring Boot,Spring Boot
77,What does the `async` keyword indicate in C#?,Function runs immediately, Function throws exceptions, Function runs asynchronously, Function is blocked,C,Medium,Language Specific, C#, C#
78,What does `===` do in JavaScript?,Compares values only,Assigns values,Strict comparison,Logical AND,C,Easy,Language Specific,JavaScript,JavaScript
79,What command creates a new Angular component?,ng new component,ng generate component,ng build component,ng add component,B,Medium,Web Development,Angular,Angular
80,What does `<img>` tag do in HTML?,Adds a table,Adds an image,Adds a script,Adds a link,B,Easy,Web Development,HTML,HTML
81,What does @Autowired do in Spring?,Starts the app,Injects dependencies,Defines a bean,Creates a table,B,Medium,Web Development, Spring, Spring
82,What is the use of the `route()` function in Laravel?,Create views,Create controller, Generate URLs,Handle models,C,Medium,Web Development,Laravel,Laravel
83,Which Git command stages files for commit?,git save, git stage,git add,git commit,C,Easy,General,Git,Git
84,What annotation in Spring Boot is used to create a REST controller?,@Service,@RestController, @Component,@Repository,B,Medium,Web Development,Spring Boot,"spring boot,rest api,annotations"
85,What tag is used to create a hyperlink in HTML?, `<link>`,`<href>`,`<a>`,`<url>`,C,Easy,Web Development,HTML,"html,hyperlink,tags"
86,What is a decorator in Python?,A variable, A function returning another function, A class,A module,B,Hard,Language Specific,Python,"python,functions,decorator"
87,Which hook is used for side-effects in React?,useEffect, useState,useRef,useCallback,A,Medium,Web Development,React,"react,hooks,side effects"
88,What is the extension for a C++ source file?,.cc,.java, .cpp,.py,C,Easy,Language Specific,C++,"c++,syntax,files"
89,What does the `useEffect` hook in React handle?,Styling elements,Performing side effects in function components,Rendering HTML,Creating routes,B,Medium,Web Development,"React, Hooks"," react,hooks,side effects"
90,Which tag is used to create a hyperlink in HTML?,`<p>`,`<a>`,`<h1>`,`<link>`,B,Easy,Web Development,HTML,"html,tags,hyperlink"
91,Which AWS service is used for hosting static websites?,EC2, S3, RDS,Lambda,B,Medium,Cloud,"AWS, S3","aws,s3,static hosting"
92,Which keyword is used to define a function in C?,define,def,function, void/int/char,D,Medium,Language Specific,C Programming,"c,functions,syntax"
93,Which component in Angular is used to define navigation routes?,RouterModule,HttpClient,FormsModule,CoreModule,A,Medium,Web Development,"Angular, Routing","angular,routing,modules"
94,What is the main purpose of the Spring Framework?,UI Design,ORM,Dependency Injection and AOP,Unit Testing,C,Medium,Object-Oriented Programming (OOP),"Java, Spring","spring,java,aop"
95,Which tag is used to insert a line break in HTML?,`<lb>`,`<break>`,`<br>`,`<line>`,C,Easy,Web Development, HTML," html, tags, basics"
96,What is the default port for PostgreSQL?,5432,3306,8080,1521,A,Medium,Databases & SQL,SQL," sql, postgresql, networking"
97,Which data structure uses FIFO principle?,Stack,Queue,Tree, Graph,B,Easy,Data Structures & Algorithms,Data Structures,"data structures, queue, fifo"
98,What does `res.send()` do in Express?,Sends an error, Sends a response,Sends a file,Sends a request,B,Easy,Web Development,"Node.js, Express"," node.js, express, http"
99,What does JSX stand for in React?,JavaScript Extended,JavaScript Syntax Extension,Java Source XML,JavaScript XML,D,Medium,Web Development, React,"react, jsx, javascript"
100,What command initializes a new Git repository?,git start,git init,git new,git create,B,Easy,General,Git,"git, version control, basics"
101,What does `kubectl get pods` do?,Deletes pods,Lists running pods,Starts pods,Restarts cluster,B,Medium,Cloud,Kubernetes,"kubernetes, commands, pods"
102,What is the purpose of `@RestController` in Spring Boot?,Serve HTML pages,Register beans,Handle REST requests,Manage views,C,Medium,Web Development,Spring Boot,"spring boot, annotations, rest api"
103,Which tag is used to define a hyperlink in HTML?, `<link>`,`<a>`,`<href>`, `<url>`,B,Easy,Web Development,HTML,"html, tags, links"
104,What does `res.send()` do in Express.js?,Sends a file,Ends the response process,Sends a response to the client,Redirects the user,C,Easy,Web Development,Express.js,"express, response, web server"
105,What does `df.head()` do in Pandas?,Shows last rows, Returns top rows, Deletes column,Sorts values,B,Easy,Databases & SQL,Pandas,"pandas, dataframe, python"
106,What is the entry point of a C# console application?,Start(), Main(),Begin(), Init(),B,Easy,Language Specific,C#,"c#, main, console"
107,What is the result of `SELECT COUNT(*) FROM table;`?,Number of rows,Sum of values,Number of columns,Average of rows,A,Easy,Databases & SQL,SQL,"sql, count, aggregate"
108,What does `typeof Hello` return?,object,string,text,char,B,Easy,Language Specific,JavaScript,"javascript, typeof, data-type"
109,What annotation is used to define a Spring Boot REST controller?,`@Service`, `@RestController`,`@Component`,`@Repository`,B,Easy,Web Development,Spring Boot,"spring-boot, annotation, rest"
110,What tag is used to define a hyperlink in HTML?,`<a>`,`<link>`,`<href>`,`<connect>`,A,Easy,Web Development,HTML,"html, anchor, link"
111, What is EC2 in AWS used for?, Storage,Virtual servers, CDN,Database,B,Easy,Cloud,AWS,"aws, ec2, compute"
112,What does Flask primarily support?,Machine learning,Data analysis, Web development,Desktop apps,C,Easy,Web Development,Flask,"flask, web, python"
113,What does `SELECT * FROM users;` do?,Inserts data,Deletes data,Selects all columns, Counts rows,C,Easy,Databases & SQL,SQL,"sql, select, query"
114,Which HTML tag is used to create a hyperlink?, <a>, <link>,<href>,<url>,A,Easy,Web Development, HTML,"HTML, Hyperlink"
115,Which of the following is not a JavaScript data type?,String,Boolean,Float,Undefined,C,Medium,Language Specific,JavaScript,"JavaScript, Data Types"
116,In OOP which concept hides internal implementation?, Abstraction,Inheritance,Polymorphism,Encapsulation,A,Medium,Object-Oriented Programming (OOP), Abstraction," OOP, Concepts"
117,Which SQL keyword is used to sort data?, GROUP BY, SORT BY, ORDER BY,RANK,C,Easy,Databases & SQL,Sorting,"SQL, Query"
118,Which CSS property changes the text color?,text-color,font-color,color, text-style,C,Easy,Web Development, CSS," CSS, Styles"
119,What is the output of `2 + '2'` in JavaScript?,4,22,Error,NaN,B,Medium,Language Specific,JavaScript,"javascript, type-coercion"
120,What is a primary key in SQL?,A key that can be null, A unique identifier for a table record, An encrypted field,A foreign key reference,B,Easy,Databases & SQL,SQL Basics,"sql, database, keys"
121,What is the main purpose of Docker?,Creating databases,Containerizing applications,Monitoring servers,Encrypting networks,B,Medium,Cloud, Docker,"docker, containers, devops"
122,Which command lists files in a Linux directory?, cd, ls, pwd,mv,B,Easy,General,Linux,"linux, commands"
123,Which of these is not a Python data type?, List, Set, Array,Tuple,C,Medium,Language Specific, Python Basics,"python, data-types"
124, What is the default port for MySQL?,1433,5432,3306,1521,C,Easy,Databases & SQL,MySQL Basics," sql, mysql"
125, What is the command to initialize a Node.js project?,npm install,node init,npm init,init node,C,Easy,General,Node.js," node, npm"
126,Which sorting algorithm has the worst-case time complexity of O(n^2)?,Merge Sort,Quick Sort, Heap Sort, Bubble Sort,D,Medium,Data Structures & Algorithms,Sorting,"sorting, time-complexity"
127, What is the correct CSS syntax to change the font size?, font-size:14px;, font=14px;,text-size=14;, fontsize:14;,A,Easy,Web Development, CSS,"css, style, frontend"
128, What is the default port of a Spring Boot app?,3000,8080,8000,5000,B,Medium,Web Development,Spring Boot," spring, java, backend"
129,What is the output of print(2 ** 3) in Python?,6,8,9,5,B,Easy,Language Specific,Python Basics,"python, operators"
130,Which command initializes a Node.js project?,npm build, node init, npm init, node install,C,Easy,Web Development,Node.js," nodejs, npm"
131,Which of these is a loop structure in C++?, do...until,loop(), for,foreach,C,Easy,Language Specific,Loops,"cpp, loops"
132, What does 'use strict' do in JavaScript?, Enables ES6, Prevents undefined variables,Converts JS to strongly typed, Enables multithreading,B,Medium,Language Specific,JavaScript,"javascript, strict mode"
133, What does ORM stand for in .NET?, Object Record Mapping, Object Relational Mapping,Object Response Model, Object Runtime Mapper,B,Medium,Databases & SQL, Entity Framework,"net, orm, entityframework"
134,Flask is a ___ framework.,Full-stack,Backend,Frontend, CLI,B,Easy,Web Development,Flask," flask, python, web"
135, Which file handles routing in Laravel?, web.php, route.php,routes.php, router.php,A,Medium,Web Development,Laravel,"laravel, routes"
136, Which Kubernetes object is used to expose services?, ConfigMap,Deployment, Service, ReplicaSet,C,Medium,Cloud,Kubernetes," kubernetes, services"
137,What does CSS stand for?, Color Style Sheets, Cascading Style Sheets,Computer Style Sheets,Creative Style Sheets,B,Easy,Web Development, CSS," css, styling"
138,Which keyword is used to inherit a class in Java?,this,extends, implements,super,B,Easy,Object-Oriented Programming (OOP), Inheritance,"java, inheritance"
139, What is the purpose of Redux middleware?,Replace reducers, Handle asynchronous logic,Replace Redux store,Create UI components,B,Medium,Web Development, Redux,"redux, middleware"
140,"In Django models, which field is used for auto-incrementing IDs?", AutoField, IDField, AutoIncrement, CounterField,A,Medium,Databases & SQL, Django Models,"django, models"
141, What is the purpose of Scene in JavaFX?, Handle files, Display UI elements, Control databases, Manage threads,B,Medium,Web Development, JavaFX,"javafx, ui"
142,Which HTTP status code means Not Found?,200,301,404,500,C,Easy,Web Development,HTTP,"http, status codes"
143,What does Entity Framework use to map objects to tables?,Controllers, Views, Models,ORM,D,Medium,Databases & SQL, Entity Framework,"ef, orm"
144,What data structure does Python use for key-value pairs?, list,tuple,dictionary,set,C,Easy,Data Structures & Algorithms,Dictionaries,"python, dictionary"
145,What command creates a new Angular component?, ng add component, ng generate component,ng create component,angular new component,B,Medium,Web Development, Angular,"angular, component"
146, What file defines services in Kubernetes?, deploy.yaml, config.json, service.yaml, kube.yaml,C,Medium,Cloud,Kubernetes,"kubernetes, service"
147, What is the output of 5 + 5 in Java?,10,55, Error,5,B,Medium,Language Specific,Java,"java, strings"
148, Which React hook is used for managing side effects?,useRef,useEffect,useState, useMemo,B,Medium,Web Development, React Hooks," react, hooks"
149, What AWS service is used for storing files?, EC2, RDS,S3, Lambda,C,Easy,Cloud, AWS,"aws, s3"
150, What does ORM stand for?, Object Runtime Model, Object-Relational Mapping, Object Report Manager, Object-Route Mapper,B,Easy,Databases & SQL, ORM," orm, django"
151, What command shows the Git commit history?, git status,git log, git show, git history,B,Easy,General,Git," git, log"
152, What is the default port for MongoDB?,8080,3306,27017,5432,C,Medium,Databases & SQL, MongoDB,"mongodb, port"
153, What is a Flask route decorator?, @route(), @app.route(), @web.route(), @flask.url(),B,Easy,Web Development, Flask," flask, routing"
154, How do you apply bold in CSS?, font-style: bold;, text-decoration: bold;, font-weight: bold;, style: bold;,C,Easy,Web Development,CSS," css, font-weight"
155, Which MySQL command shows all tables?,SHOW DATABASES;, LIST TABLES;, SHOW TABLES;, DESCRIBE ALL;,C,Easy,Databases & SQL, MySQL," mysql, show"
156, What is the main building block of Angular apps?, Components, Templates, Modules, Services,A,Easy,Web Development, Angular,"angular, components"
157, Which SQL keyword is used to sort the result set?, ORDER BY, SORT BY, GROUP BY, ALIGN BY,A,Easy,Databases & SQL,SQL,"sql, ordering"
158, Which of the following is the default port for MySQL?,8080,3306,5432,27017,B,Easy,Databases & SQL, MySQL,"mysql, port"
159,What is the CSS property used to change the text color?, text-color, font-color, color,text-style,C,Easy,Web Development, CSS," css, color"
160,"In PostgreSQL, which command is used to remove a table?", DROP TABLE, DELETE TABLE, REMOVE TABLE, DELETE DATABASE,A,Easy,Databases & SQL, PostgreSQL,"postgres, drop table"
161,What is the default DNS service used by Kubernetes?, CoreDNS, GoogleDNS,AWS Route 53, AzureDNS,A,Medium,Cloud, Kubernetes," kubernetes, dns"
162, Which method is used to add a document to a MongoDB collection?,insert(), add(), save(), insertOne(),D,Medium,Databases & SQL,MongoDB,"mongodb, database"
163, What is the default fetch type in JPA for relationships?, EAGER, LAZY, SELECT, JOIN,B,Medium,Databases & SQL, JPA,"jpa, relationships"
164,What does the CSS `font-size` property do?, Changes the color of the text, Changes the size of the text, Changes the background color,Changes the font family,B,Easy,Web Development, CSS,"css, text size"
165, Which SQL statement is used to delete a record from a table?,DELETE, REMOVE, TRUNCATE, DROP,A,Easy,Databases & SQL,SQL,"sql, delete"
166, Which of the following is the default isolation level for SQL Server transactions?, SERIALIZABLE, READ COMMITTED, REPEATABLE READ,READ UNCOMMITTED,B,Medium,Databases & SQL, SQL Server,"sql server, isolation level"
167," In Django, which command is used to apply migrations?", python manage.py runserver, python manage.py migrate, python manage.py apply, python manage.py update,B,Easy,Web Development, Django,"django, migration"
168,Which CSS property is used to change the background color of an element?,color, background-color, background-image,bgcolor,B,Easy,Web Development, CSS," css, background color"
169,"In C++, which of the following is used for dynamic memory allocation?",malloc(), free(), new, delete,C,Medium,Language Specific,C++,"c++, memory allocation"
170, How do you define a foreign key in a Rails model?, has_many :foreign_key,belongs_to :foreign_key, has_foreign_key :foreign_key, foreign_key :belongs_to,B,Medium,Web Development, Rails," rails, foreign key"
171, What is the default strategy for generating primary keys in Hibernate?, AUTO,SEQUENCE, IDENTITY,TABLE,A,Medium,Web Development,Hibernate," hibernate, primary key"
172, Which property in CSS is used to change the font of text?, font-family, text-font, font-style, font-text,A,Easy,Web Development, CSS," css, font"
173, Which method is used to add an element to the end of an array in JavaScript?, push(),pop(), shift(),unshift(),A,Medium,Language Specific, JavaScript," javascript, array"
174, What is the purpose of SQLAlchemy in Flask?, To manage database connections and queries, To build the application interface,To deploy the application, To handle authentication,A,Medium,Web Development, Flask," flask, sqlalchemy"
175," In Rails, what is the default database used?", SQLite, MySQL, PostgreSQL, MongoDB,A,Easy,Web Development,Rails," rails, sqlite"
176,"In Java, which keyword is used to create a subclass?",extends,inherits, subclass,create,A,Easy,Language Specific, Java," java, inheritance"
177,Which SQL command is used to retrieve data from a database?,INSERT,DELETE,UPDATE,SELECT,D,Easy,Databases & SQL,SQL,"SQL, Database"
178,"In Python, which keyword is used to handle exceptions?",throw,catch,except,error,C,Easy,Language Specific,"Python, Error Handling","Python, Error Handling"
179,Which algorithm is used for cycle detection in a directed graph?,BFS,DFS,Kruskal’s,Dijkstra’s,B,Hard,Data Structures & Algorithms,Graphs,"Graphs, Data Structures & Algorithms"
180,Which tag is used for the largest heading in HTML?,`<h6>`,`<h1>`,`<head>`,`<header>`,B,Easy,Web Development,HTML,HTML
181,Which MongoDB command is used to insert a document?,insert(),insertOne(),push(),add(),B,Medium,Databases & SQL, MongoDB," MongoDB, Databases"
182,Which SQL clause is used to filter records?,ORDER BY,WHERE,GROUP BY,LIMIT,B,Easy,Databases & SQL,SQL,"SQL, Databases"
183,What is the output of `3 ** 2` in Python?,6,8,9,5,C,Easy,Language Specific,Python,Python
184,What does a Kubernetes pod represent?,A cluster of servers,single container,A group of containers with shared storage and network,A virtual machine,C,Medium,Cloud,Kubernetes,"Kubernetes, Cloud"
185,Which tag is used to insert an image in HTML?,`<img>`,`<image>`,`<src>`,`<pic>`,A,Easy,Web Development,HTML,HTML
186,What is a blade file in Laravel?,PHP controller,Configuration file,View template file,Middleware,C,Medium,Web Development,Laravel,Laravel
187,"In SQL, what does `JOIN` do?",Adds new columns,Combines rows from two or more tables,Deletes rows,Creates indexes,B,Easy,Databases & SQL,SQL Joins,SQL Joins
188,Which HTML tag creates a line break?,`<br>`,`<break>`,`<lb>`,`<hr>`,A,Easy,Web Development,HTML,HTML
189,What is the time complexity of binary search?, O(n),O(log n),O(n log n), O(1),B,Medium,Data Structures & Algorithms,Binary Search,Binary Search
190,What is a primary key?, A duplicate column,A foreign column,A unique identifier for rows,An encrypted key,C,Easy,Databases & SQL,SQL,SQL
191,Which keyword defines a function in JavaScript?,define,method,function, new,C,Easy,Language Specific,JavaScript,JavaScript
192,Which SQL clause is used to remove duplicate records?,GROUP BY,UNIQUE,SELECT DISTINCT ,WHERE,C,Easy,Databases & SQL,SQL,SQL
193,What does CSS stand for?,Common Style Sheet,Colorful Style Sheet,Cascading Style Sheets,Creative Style Sheets,C,Easy,Web Development,CSS,CSS
194,What is the role of IAM in AWS?,Monitoring,Identity and access management, File storage,Database management,B,Medium,Cloud,AWS,AWS
195,What does MVC stand for?,Model-View-Controller,Module-View-Component,Main-Variable-Class,Master-View-Code,A,Easy,General,Software Architecture,Software Architecture
196,What does Tailwind use to apply styles?,JavaScript functions,Preprocessors,Utility classes,Inline styles,C,Medium,Web Development,Tailwind CSS,Tailwind CSS
197,What is the time complexity of accessing an element in a HashMap?,O(n), O(log n), O(1), O(n log n),C,Medium,Data Structures & Algorithms,"HashMap, Java","java,hashmap,time complexity"
198,Which symbol is used to start a comment in JavaScript?, #,//, \<!--,\*,B,Easy,Language Specific,JavaScript,"javascript,syntax,comments"
199,Which HTTP method is idempotent?,POST,PATCH, PUT,CONNECT,C,Medium,Web Development,"HTTP, REST"," rest,http methods,put"
200,What is the use of `ObjectId` in MongoDB?,Delete document,Timestamp,Unique document ID, Reference ID,C,Medium,Databases & SQL,MongoDB,"mongodb,nosql,document id"
201,What keyword defines a class in C++?,function,define,object,class,D,Easy,Object-Oriented Programming (OOP),C++,"c++,oop,class"
202,What is the time complexity of accessing an element in an array by index?,O(n),O(log n),O(1),O(n log n),C,Easy,Data Structures & Algorithms," Arrays, Time Complexity"," arrays,data structures,time complexity"
203,What does `len()` function do in Python?,Computes factorial,Measures length of a list or string,Converts to lowercase,Checks data type,B,Easy,Language Specific,"Python, Functions","python,functions,length"
204, What is the main purpose of JPA in Spring Boot?, Front-end design, Data persistence,Networking,Testing,B,Medium,Object-Oriented Programming (OOP),"JPA, Spring Boot","spring boot,jpa,persistence"
205,What does `==` operator do in Python?,Assign value, Compare equality, Compare type,Increment,B,Easy,Problem Solving,"Python, Operators"," python,operators,comparison"
206, What is the default port for SQL Server?,3306,8080,1433,1521,C,Medium,Databases & SQL,SQL Server,"sql server,ports,networking"
207,Which keyword is used to inherit a class in Java?,implement,extends,inherits, super,B,Easy,Object-Oriented Programming (OOP),"Java, OOP"," java, inheritance, oop"
208,Which operator is used for strict equality in JavaScript?,=,==,===,!=,C,Medium,Web Development,JavaScript,"javascript, operators, equality"
209,What is a migration in Django?,Moving servers,Moving code to production,Database schema change,Changing CSS styles,C,Medium,Web Development,Django,"django, orm, migrations"
210, What is the output of `cout << 5 / 2;` in C++?,2,2.5,3,0,A,Medium,Language Specific,"C++, Arithmetic","c++, arithmetic, division"
